,Data,User,Tweet
0,2021-12-31 21:50:05+00:00,leabinia,"어제 밤부터...몸이 안좋은데...오미크론일까봐...쫄린다...아니 근데 나 마스크도 진짜 KF94꼬박꼬박 쓰고, 어디가서 마스크도 안내리고 그랬다구...요즘 영하30도에 걸어다니다가 독감같기도 한데 왠지 쫄려ㅠㅠ...그리고 연말이라고 검사받을곳이 없음...ㅎ아마 검사못받은 확진자수도 어마어마할듯"
1,2021-12-31 20:43:54+00:00,dodododp98,어디서 구할 거죠? 독감 백신이라면 지원자 넘칠 거요 보훈병원에서 찾아보죠
2,2021-12-31 20:19:46+00:00,___whoami,"요컨대 COVID-19가 어느 연령층에서도 독감보다 덜 치명적이진 않지만, 설령 특정 연령에서 그러하다 해도 치료가 제한적이고 전염성이 훨씬 높기 때문에 여전히 독감보다 더 위험한 질병이다."
3,2021-12-31 20:19:46+00:00,___whoami,"그 사망자의 절대 다수는 독감 예방 접종을 안 했을 텐데, 그래서 입원을 해도 생후 6개월인가부터 사용 가능한 타미 플루 같은 검증된 치료제가 있다. (우리 애도 이거 때문에 입원 4일 후 살아서 돌아왔다.) 그런데 COVID-19엔 치료제가 제한적이다."
4,2021-12-31 20:19:45+00:00,___whoami,"그리고.. Seasonal flu는 R0값이 1에서 2 사이인데, COVID-19는 전염성이 훨씬 높다. 독감은 충분히 덜 치명적인 게 아니라 치료제가 있어서 덜 무서운 것으로 봐야 한다. 미국 기준, 매년 독감으로 몇만명 죽었다. https://t.co/BiaCFFUyAA"
5,2021-12-31 20:19:45+00:00,___whoami,"이 쓰레드, 여러 가지로 잘못된 정보를 제시하는 것 같다. 첫째, COVID-19가 50대 이하에서 seasonal flu (독감)보다 약하다는 얘기. 그렇지 않다. 40대까지 올라가면 순수한 넌센스고, 청소년/유아동 층에도 Lancet에 아래와 같은 페이퍼가 있다:
https://t.co/jcb3B1NaDd https://t.co/PtymQMKcrs"
6,2021-12-31 20:09:10+00:00,silvertan12,@Talk_Potato_ 고1때 그러고 독감걸려서 학교 1주일동안 빠지기 개꿀~~
7,2021-12-31 19:43:54+00:00,dodododp98,실험에 응할 지원자를 어디서 구할 거죠? 독감 백신이라면
8,2021-12-31 19:06:11+00:00,DebMart28296300,"""독감백신맞은 학생사망원인이 아질산염 중독이라는데 이게 햄이나 소세지, 베이컨에도 주로 쓰이는거라네요...
 무섭다 ㅜㅜㅜㅜ 참고로 비타민C가 아질산염을 산화질소로 환원시켜줘서 중독예방에 좋다고해요!
 https://t.co/WEbprEtVPx
 
 제휴커미션 지급받을수 있음y43a56"""
9,2021-12-31 18:16:33+00:00,rugby_csl,"@H1ST0RY_about 정말이야! 나 독감주사 안 맞아도 독감 안 걸리는 튼튼한 몸인데. 그 바이러스도 내 몸에선 다 죽을걸. (바보 같은 웃음을 날려주고는 네 대답이 올때까지 배려해주듯 기다립니다) ... 지쳤다? 무슨 - 소리일까나, 선배는 하나도 안 지쳤는데. (멋쩍은 웃음소리를 흘리며 널 바라봅니다)"
